GenerationIndex, Maximum, Minimum, Average
0, 2011.4720801332337, 2001.5114092227623, 2007.207470524479
1, 2011.5150711944718, 1999.4859498242931, 2008.774955285421
2, 2011.5934157917882, 1997.6875891177892, 2009.7875810617377
3, 2011.5923935687404, 2000.7913347130495, 2009.7869383485697
4, 2011.5593106162196, 1999.2503439623915, 2009.7794865490623
5, 2011.6229725697694, 1996.3289597406736, 2009.6883821875194
6, 2011.7617037761252, 1998.9517354986904, 2009.865443592096
7, 2011.5630430169413, 1996.9947583109276, 2009.7005975312845
8, 2011.6485395866357, 1997.9934976208615, 2009.7411325960795
9, 2011.5644942894678, 1996.3852490872844, 2009.7788063967869
