GenerationIndex, Maximum, Minimum, Average
0, 2011.4994604098279, 2001.5038712468304, 2007.330475912991
1, 2014.5036211885927, 1998.49725410962, 2009.1708121250313
2, 2014.5764291097887, 1996.1571826636582, 2009.7892324423042
3, 2016.3916972235393, 2002.8238404152903, 2010.357251156404
4, 2016.8260954029129, 1999.3682612631278, 2010.800168178943
5, 2018.8787673792697, 1993.5690757283558, 2011.760612944342
6, 2018.8152752868762, 2004.4185186916204, 2012.6551803143518
7, 2018.0023399349266, 2000.8552752142377, 2013.3486747904349
8, 2021.3440431261156, 1999.4768905243554, 2014.5821766615054
9, 2020.674340408707, 2003.3914736642923, 2015.4921482512184
10, 2020.3629270784822, 2000.6880721329755, 2016.2614748172737
11, 2020.777514079769, 2001.9775297330502, 2016.6643830215032
12, 2021.4218444917378, 1993.4815212312947, 2016.9294629269864
13, 2023.3972818105026, 2005.3657011476357, 2017.1789448121608
14, 2063.291052294878, 2003.9905826148317, 2017.598122946093
15, 2044.3087595470774, 2003.6262064310538, 2017.5569041782571
16, 2152.1019780864162, 2004.9976183237868, 2018.837865312774
17, 2105.137367652615, 1990.6013324305063, 2018.830327542485
18, 2180.93159564126, 1893.5650957003481, 2020.3760398975003
19, 2207.6937045490863, 1916.1879608772313, 2022.6361190779885
