GenerationIndex, Maximum, Minimum, Average
0, 2022.1518419080262, 2016.6495219417257, 2020.0997549685549
1, 2227.1209002532605, 1975.6365678569596, 2025.9461824680852
2, 2258.1747833417357, 1943.860156584415, 2032.434635732276
3, 2262.6650344996806, 2005.8183382948682, 2041.3217114218899
4, 2243.3473406678377, 1916.9836379774406, 2061.890462310974
5, 2283.4742919505397, 1868.6647469431837, 2078.854286076867
6, 2248.0597428659335, 1893.2482773830466, 2123.480556789927
7, 2256.527223678311, 1916.6031770911386, 2172.2058287029195
8, 2268.052051225208, 1944.5418351763408, 2193.0182583399255
9, 2264.8687180031466, 1927.7667495425346, 2191.165081826803
