GenerationIndex, Maximum, Minimum, Average
0, 2353.50376511967, 2347.5072276896476, 2351.789490660171
1, 2360.091882619652, 2336.0646933613925, 2352.2871483038894
2, 2359.871133608687, 2332.276234156084, 2352.4910207493685
3, 2360.2305178379547, 2329.9582974092436, 2352.924242806695
4, 2360.0353251341603, 2332.69161953699, 2353.378122233389
5, 2396.899863230502, 2329.8011332955316, 2354.5171288710367
6, 2431.371840377231, 2316.879201709785, 2355.3967230048747
7, 2364.611093789208, 2335.844310717668, 2356.8730944122244
8, 2364.201613296742, 2331.5608339741593, 2357.089765045101
9, 2369.9885775571447, 2332.6107871526538, 2357.7234079045384
10, 2370.153715002404, 2323.9797272312026, 2358.7090292270714
11, 2374.681017152795, 2332.4785107628586, 2358.795132148207
12, 2375.404999432039, 2331.24075035683, 2359.4823342150917
13, 2368.9746308298977, 2332.8929205808968, 2359.5281839949107
14, 2371.5302948656445, 2327.4170622928755, 2360.4831027703117
15, 2371.5316427650696, 2334.8462123125764, 2361.516171159705
16, 2594.321029663806, 2325.504046561246, 2363.653729901885
17, 2593.0445965372214, 2320.3764866348392, 2365.6637006510828
18, 2507.334708658256, 2328.4622368441815, 2369.3696395392612
19, 2500.110131661684, 2262.3675511089914, 2370.823183614824
