GenerationIndex, Maximum, Minimum, Average
0, 11971, 6916, 8702.57
1, 11952, 8766, 9744.42
2, 12023, 9355, 10407.74
3, 12280, 10139, 11025.65
4, 12276, 10556, 11331.0
5, 12430, 10675, 11494.44
6, 13219, 10192, 11737.06
7, 13197, 10676, 12070.42
8, 13188, 8071, 12101.55
9, 13216, 11659, 12350.45
10, 13218, 7193, 12396.66
11, 13219, 10340, 12683.33
