GenerationIndex, Maximum, Minimum, Average
0, 2982.0503414640893, 2973.7351151559997, 2977.786451207024
1, 2991.698791404084, 2972.8068830042803, 2978.4966998515347
2, 3022.392380175364, 2973.3677380246672, 2979.7382750293846
3, 3018.25962682536, 2971.3364147336893, 2980.485190882954
4, 3023.88598726054, 2936.180742943404, 2982.4369777596776
5, 3026.2284553668333, 2970.473150208564, 2985.9182254375146
6, 3072.8550157712602, 2973.168200000288, 2990.5493317511828
7, 3074.0121512259284, 2964.938829291221, 2997.2454669614312
8, 3213.01266654235, 2922.61315895372, 3006.498158101999
9, 3248.0777039584104, 2931.375921588052, 3023.6142167592466
10, 3240.195249492161, 2982.9655305059996, 3048.606022975797
11, 3260.6073889247623, 2917.9956259057735, 3069.026508179362
12, 3319.649061675759, 2928.202594462494, 3095.547235037794
13, 3343.0373318735783, 2939.1132947686106, 3126.6543722314614
14, 3351.3862971539265, 2988.6680517289287, 3152.65719329593
15, 3354.3267850207976, 2952.2972596842264, 3173.974199092766
16, 3369.787653609308, 2988.6871290169493, 3190.145244567834
17, 3424.5523419247593, 2990.751153811754, 3221.4586287760253
18, 3417.7283889380474, 2555.8413613483044, 3261.563892226563
19, 3417.8435787640674, 2674.2461284244955, 3270.758445784312
