GenerationIndex, Maximum, Minimum, Average
0, 2352.9004593493382, 2347.7580918651747, 2351.3863032093395
1, 2353.615599981281, 2330.9358825065874, 2351.6320454416223
2, 2354.438232073421, 2340.8059450427736, 2351.7132298977544
3, 2353.7260168633884, 2329.289524411708, 2351.6239597203557
4, 2354.7148823187517, 2334.4188644115097, 2351.7487001789596
5, 2355.0564191362446, 2332.1364130508155, 2351.4982817412288
6, 2354.9207174127077, 2329.9265078707995, 2351.830328138003
7, 2355.039045236197, 2328.5171508028247, 2352.1201584960454
8, 2355.1124696539277, 2343.1826518027847, 2352.7352792548318
9, 2355.265804950058, 2335.4811880450434, 2352.8160591143865
