GenerationIndex, Maximum, Minimum, Average
0, 12468, 6845, 8800.63
1, 12505, 8508, 9871.61
2, 12517, 9710, 10568.97
3, 12517, 10420, 11052.73
4, 12528, 10772, 11489.04
5, 12800, 10713, 11905.17
6, 12919, 10899, 12295.61
7, 12930, 10796, 12480.38
8, 12932, 9718, 12448.19
9, 13395, 7696, 12504.84
10, 13408, 11469, 12753.1
11, 13401, 11171, 12854.03
