GenerationIndex, Maximum, Minimum, Average
0, 2264.819960132977, 2258.859640901598, 2262.9406463642576
1, 2522.11161036597, 2176.587251103793, 2262.5694909007025
2, 2271.6460901862783, 2222.050561467544, 2262.582668786096
3, 3864.5110818355242, 2159.148436548512, 2267.80290290267
4, 3976.9823566116047, 2118.899641812004, 2275.6272170760885
5, 2533.7584259576065, 2158.4017305606794, 2267.5196467426076
6, 3731.587801247581, 2087.992579111817, 2280.2402452096044
7, 3731.8695860682296, 2095.6782069580036, 2289.3672432195126
8, 2543.38181214604, 2040.704267708351, 2274.6819362021984
9, 3941.092246828038, 1957.493458418003, 2291.2852386129853
