GenerationIndex, Maximum, Minimum, Average
0, 13111, 6788, 8503.31
1, 13129, 8091, 9694.44
2, 13118, 8617, 10607.41
3, 13128, 9705, 11573.24
4, 13130, 11027, 12324.23
5, 13138, 8944, 12693.34
6, 13136, 11582, 12918.27
7, 13248, 11575, 13024.84
8, 13246, 8665, 12885.14
9, 13234, 11635, 13034.76
10, 13268, 8998, 12996.57
11, 13262, 12088, 13048.78
