GenerationIndex, Maximum, Minimum, Average
0, 2070.1662965710802, 2066.7247014980458, 2069.391371327094
1, 2299.476641556733, 2041.2434084896515, 2073.61652459793
2, 2291.410749414814, 2041.2675504018373, 2084.280284011593
3, 2290.8904287035575, 2003.9776998419488, 2099.097494682553
4, 2376.3212820207573, 1983.2687119598104, 2129.965830556583
5, 2383.0093841183752, 1987.8959506449128, 2176.448609943891
6, 2394.063001581355, 2016.5578217544967, 2211.485025652318
7, 2411.758700837912, 2036.2951394827571, 2225.441038737298
8, 2566.8848116438367, 1991.7204206150948, 2255.489592602088
9, 2573.8219602259205, 1859.204215081104, 2277.0464736613894
