GenerationIndex, Maximum, Minimum, Average
0, 2241.9832424480637, 2233.881091656786, 2240.126164537918
1, 2241.970279099146, 2232.1969755174932, 2240.1606744484357
2, 2242.8380689468977, 2232.0640541167018, 2240.195383782635
3, 2242.2160932368256, 2234.8158588425913, 2240.467577221335
4, 2243.9685033102724, 2231.4814512367684, 2240.5528698562725
5, 2243.708312168129, 2232.4933326100654, 2241.140548837543
6, 2244.070858419458, 2232.1363862581684, 2241.3158004217617
7, 2244.482289398429, 2232.729192819828, 2241.5228395166487
8, 2244.866665215821, 2231.075766157591, 2241.6248507457753
9, 2244.8517800920336, 2233.8391466705343, 2241.7664283227377
