GenerationIndex, Maximum, Minimum, Average
0, 2036.326748265611, 2031.7101277846978, 2034.3215968957024
1, 2039.1407862012152, 2027.260183158628, 2035.0604058155516
2, 2039.5801279926054, 2028.4471498495884, 2035.0695406192217
3, 2039.7530770202634, 2026.8003717076272, 2035.1478279297944
4, 2039.7048194569911, 2027.9245219437673, 2035.3491969535773
5, 2039.9269212158615, 2029.8729983149865, 2035.4905334218713
6, 2040.1742744184758, 2028.1836414069553, 2035.50774965022
7, 2040.255970508813, 2027.5553392592656, 2035.9419567775722
8, 2040.0569784264612, 2027.5892008064145, 2036.5322409992718
9, 2040.2425669599597, 2028.6391567241487, 2037.0646543021755
