GenerationIndex, Maximum, Minimum, Average
0, 12567, 6903, 8736.87
1, 12510, 8113, 9805.5
2, 12796, 8999, 10619.67
3, 12795, 9696, 11277.56
4, 12803, 7706, 11578.71
5, 13004, 11401, 12137.52
6, 13141, 11382, 12506.12
7, 13393, 10852, 12668.49
8, 13398, 11036, 12794.67
9, 13409, 11043, 12890.99
10, 13400, 8256, 12891.37
11, 13438, 9000, 12916.41
