GenerationIndex, Maximum, Minimum, Average
0, 2918.1049245271597, 2548.880484675505, 2660.139048193497
1, 2924.7028449832997, 2550.876243548599, 2774.4049015637847
2, 2941.191994412312, 2555.1728667420116, 2805.4793972473667
3, 2941.912974878327, 2557.730608279336, 2854.599445717784
4, 2971.4441873920323, 2550.4545961745594, 2876.4396294240187
5, 2964.1593303098234, 2462.852558081281, 2898.82464573206
6, 2974.1313684832166, 2549.4588370337715, 2904.34121922152
7, 2991.077517350273, 2554.6057252931732, 2908.7068860979507
8, 2995.6313703822807, 2560.466761952345, 2920.246424915972
9, 3002.3313842483453, 2557.3861600399737, 2929.776615082534
10, 3008.3003264114486, 2553.8227486358305, 2953.0714727528252
11, 3008.939605230064, 2567.293051851029, 2959.8863734153297
12, 3007.2306845991825, 2565.9174149748414, 2959.5989621874864
13, 3008.5037271248802, 2557.1459659163816, 2960.1863736011355
14, 3010.3444271642416, 2567.8448999024668, 2959.708309967902
15, 3007.2959816510324, 2560.2566020733047, 2962.225310452409
16, 3008.463215912043, 2555.012260531324, 2961.7302473118575
17, 3007.606249107076, 2577.0363469057147, 2965.0487951136265
18, 3009.7102868522825, 2553.889554499696, 2961.4719424099667
19, 3009.4397376079196, 2558.8943811056806, 2963.8194638867026
