GenerationIndex, Maximum, Minimum, Average
0, 2890.5686671815265, 2575.707669488742, 2666.4270984054906
1, 2949.1914971439182, 2579.9431175389655, 2805.0930747615575
2, 2964.8362113122193, 2583.3726455412043, 2855.15074826444
3, 2976.2795654695806, 2570.070646573911, 2843.762688590313
4, 2974.691088969403, 2561.5321161093984, 2926.2510393500415
5, 2979.992699597483, 2565.9731969910476, 2928.61893956498
6, 2979.5619333095174, 2549.9364089865044, 2932.194311839589
7, 2978.597585041098, 2569.3399390884447, 2925.7559558280536
8, 2978.9018539818676, 2569.51952056311, 2932.086130816065
9, 2982.290720855573, 2566.636923472898, 2930.3518249280496
10, 2980.7913179802194, 2558.6149647608913, 2931.083363952336
11, 2977.25264291901, 2580.746253624724, 2931.873039281185
12, 2978.2080296301506, 2568.696266795051, 2928.6943135741485
13, 2987.427730321622, 2573.9328344444257, 2927.931877819804
14, 2983.9243820943343, 2505.438759484708, 2931.824752303164
15, 2986.705958929894, 2562.380875151624, 2929.126079203669
16, 2977.6118310305674, 2569.6575212660646, 2931.2251076676434
17, 2979.588769773361, 2563.200283809816, 2928.0359280348143
18, 2989.7414611119475, 2560.6727974893056, 2929.408930954849
19, 2981.2531181038244, 2568.3486482040826, 2927.340039906657
