GenerationIndex, Maximum, Minimum, Average
0, 2934.0738350217284, 2546.5305345133115, 2651.1463253693273
1, 2945.23435442021, 2540.2228836364075, 2775.2221181915816
2, 2963.7331334499077, 2555.7134193778966, 2823.103956605747
3, 2954.382074023489, 2544.887839094697, 2836.3315976813087
4, 2984.909799030725, 2544.30775376102, 2882.3915230163716
5, 2991.3430308810334, 2557.7798693385166, 2884.1123243505094
6, 2992.0755935299608, 2567.5947720990484, 2894.3634038932178
7, 2995.5298407786295, 2552.1320242642482, 2912.0819625593604
8, 2996.430068298963, 2545.7873059765348, 2945.371767864567
9, 3004.7068880693805, 2550.9587863337315, 2942.5809774258323
10, 3008.792106683419, 2532.8457617147174, 2949.3238954728404
11, 3005.884055534376, 2543.163687363969, 2959.2316271157842
12, 3003.577892958183, 2545.939414325863, 2952.592771181783
13, 3004.6480076220323, 2542.2123053132955, 2956.688640596655
14, 3002.5252080110677, 2551.0388145862908, 2954.4571316435013
15, 3004.9334253504658, 2536.277953999065, 2963.7627218205284
16, 3003.8823197163106, 2553.824889261946, 2961.541622960706
17, 3004.4314914230335, 2547.2293149856205, 2958.6779361246986
18, 3004.208840844594, 2556.624486756245, 2959.724417754519
19, 3002.4564048169646, 2549.977477089026, 2960.6077179346967
