GenerationIndex, Maximum, Minimum, Average
0, 2981.646139518708, 2974.154468903601, 2976.757246008684
1, 2982.7492022942274, 2971.3261139549513, 2977.3377731452374
2, 2983.0733289041864, 2970.908026188321, 2978.0085846265797
3, 2983.0666995175175, 2971.008742477518, 2978.361781770983
4, 2984.498370172163, 2972.549858893971, 2979.1025524171246
5, 2983.9923834336923, 2972.689451223193, 2979.3370063149364
6, 2983.366840948497, 2970.9686463452963, 2979.775857236873
7, 2983.70592759335, 2972.70581348197, 2979.9961792316158
8, 2984.5893495420614, 2972.9318251788254, 2980.08517473811
9, 2984.6239489289173, 2973.107267869442, 2980.1014813228
