GenerationIndex, Maximum, Minimum, Average
0, 2982.371290095791, 2973.7633588201224, 2976.8395018408437
1, 2983.3629007404465, 2971.7047013242236, 2977.3134494828246
2, 2982.1761627072383, 2972.743822269823, 2977.879451441681
3, 2982.684533751757, 2972.2712232869953, 2978.6947729529747
4, 2983.2809636389024, 2971.8007206162342, 2979.0057992829747
5, 2982.1608517148406, 2972.66951674908, 2979.198061173998
6, 2982.877327895747, 2970.3888562971533, 2979.0634599305195
7, 2983.278287113948, 2972.077975230672, 2979.2753869385783
8, 2983.5299880985385, 2973.5134697217345, 2979.29487268813
9, 2983.4589071757227, 2971.932043703374, 2979.404539304945
