GenerationIndex, Maximum, Minimum, Average
0, 10596, 2, 4878.7
1, 10599, 4029, 7330.49
2, 10603, 2066, 8438.96
3, 10602, 3, 9051.45
4, 10600, 505, 9682.89
5, 10605, 4329, 10234.49
6, 11046, 3786, 10343.23
7, 11050, 4273, 10299.76
